title,genre,language,overview
Avengers: Endgame,Action English,English,Superheroes save the universe from Thanos
Titanic,Romance English,English,A love story on the ill fated ship
Inception,Sci-Fi English,English,A thief enters dreams to steal secrets
3 Idiots,Comedy Hindi,Hindi,Three friends navigate college life
Dangal,Sports Hindi,Hindi,A wrestler trains his daughters
Bahubali,Action Telugu,Telugu,A warrior fights for his kingdom
KGF,Action Kannada,Kannada,A man rises in the gold mafia
Joker,Drama English,English,A mentally troubled comedian turns criminal
Interstellar,Sci-Fi English,English,A team travels through space to save humanity
Drishyam,Thriller Hindi,Hindi,A man protects his family from crime
